Работа,Модель,Путь,Датасет,Accuracy,Recall,Precision,F1,"Время инференса на 1 изображение, с",Количество объектов,Количество классов
Практическая работа 5,"MobileNetV2 transfer learning для набора кошек, собак и обезьян",e:\bigdata\DEEP_learning\prac_10\prac_5\best_transfer.keras,custom_3class,0.9884057971014493,0.9894598155467721,0.9890104053601795,0.9892004207079905,0.0006056210628467734,690,3
Практическая работа 5,VGG16 transfer learning для EuroSAT,e:\bigdata\DEEP_learning\prac_10\prac_5\vgg_model.keras,eurosat,0.7138271604938271,0.6967555555555556,0.7528538610025669,0.6849922918520489,0.0013862866502247536,4050,10
Практическая работа 3,"Сверточная модель для набора кошек, собак и обезьян",e:\bigdata\DEEP_learning\prac_10\prac_3\best_img.keras,custom_3class,0.6318840579710145,0.6050724637681159,0.6620066054624034,0.6038479556128119,0.001323236956526548,690,3
Практическая работа 4,CIFAR-100 CNN с BatchNormalization и Dropout,e:\bigdata\DEEP_learning\prac_10\prac_4\model_4.keras,cifar100,0.5918,0.5925701735020467,0.6003175788967814,0.5910453206606396,4.5280006667599083e-05,5000,100
Практическая работа 4,"CNN для набора кошек, собак и обезьян",e:\bigdata\DEEP_learning\prac_10\prac_4\best_img.keras,custom_3class,0.5840579710144927,0.5670289855072465,0.6353470860052395,0.5685233097046059,0.0011716522704944877,690,3
Практическая работа 2,"Полносвязная модель для набора кошек, собак и обезьян",e:\bigdata\DEEP_learning\prac_10\prac_2\best_img.keras,custom_3class,0.47681159420289854,0.46459156785243744,0.5344253800238233,0.45813730104106165,0.0005631199033462986,690,3
Практическая работа 5,ResNet50 transfer learning для EuroSAT,e:\bigdata\DEEP_learning\prac_10\prac_5\resnet_model.keras,eurosat,0.5182716049382716,0.4953777777777778,0.4141551601074413,0.44697428691450314,0.0010343080576041659,4050,10
Практическая работа 4,CIFAR-100 CNN с Dropout,e:\bigdata\DEEP_learning\prac_10\prac_4\model_3.keras,cifar100,0.4114,0.4130483893614001,0.41067577299048685,0.4052235072417625,3.874545333286126e-05,5000,100
Практическая работа 4,CIFAR-100 CNN с BatchNormalization,e:\bigdata\DEEP_learning\prac_10\prac_4\model_2.keras,cifar100,0.3544,0.35507930298818424,0.4003480769938684,0.3480327767733777,3.583280000990878e-05,5000,100
Практическая работа 4,CIFAR-100 CNN без BatchNormalization и Dropout,e:\bigdata\DEEP_learning\prac_10\prac_4\model_1.keras,cifar100,0.3382,0.33975028297297505,0.3610108089123027,0.3314805064815799,3.501059333017717e-05,5000,100
